images_file_name,annotations_id,categories_id,categories_name,bbox_x,bbox_y,bbox_w,bbox_h
K-001900-010224-016551-031705_0_2_0_2_70_000_200.png,5393,1899,보령부스파정 5mg,645,859,210,158
K-001900-010224-016551-031705_0_2_0_2_70_000_200.png,5400,31704,낙소졸정 500/20mg,134,123,245,426
K-001900-010224-016551-031705_0_2_0_2_70_000_200.png,5390,16550,동아가바펜틴정 800mg,566,131,285,450
K-001900-010224-016551-031705_0_2_0_2_75_000_200.png,5395,1899,보령부스파정 5mg,128,258,196,148
K-001900-010224-016551-031705_0_2_0_2_75_000_200.png,5391,16550,동아가바펜틴정 800mg,109,648,288,496
K-001900-010224-016551-031705_0_2_0_2_90_000_200.png,5394,1899,보령부스파정 5mg,144,264,203,148
K-001900-010224-016551-031705_0_2_0_2_90_000_200.png,5392,16550,동아가바펜틴정 800mg,142,701,287,477
K-001900-010224-016551-031705_0_2_0_2_90_000_200.png,5401,31704,낙소졸정 500/20mg,617,735,254,448
K-001900-010224-016551-033009_0_2_0_2_70_000_200.png,1539,33008,신바로정,89,257,365,209
K-001900-010224-016551-033009_0_2_0_2_70_000_200.png,1543,1899,보령부스파정 5mg,644,854,205,177
K-001900-010224-016551-033009_0_2_0_2_75_000_200.png,1544,1899,보령부스파정 5mg,138,245,184,165
K-001900-010224-016551-033009_0_2_0_2_75_000_200.png,1547,16550,동아가바펜틴정 800mg,4,730,475,316
K-001900-010224-016551-033009_0_2_0_2_90_000_200.png,1538,33008,신바로정,550,836,376,199
K-001900-010224-016551-033009_0_2_0_2_90_000_200.png,1545,1899,보령부스파정 5mg,153,253,192,168
K-001900-010224-016551-033009_0_2_0_2_90_000_200.png,1548,16550,동아가바펜틴정 800mg,43,776,466,321
K-001900-016548-018110-021026_0_2_0_2_70_000_200.png,3166,1899,보령부스파정 5mg,173,279,201,141
K-001900-016548-018110-021026_0_2_0_2_70_000_200.png,3161,16547,가바토파정 100mg,140,866,240,240
K-001900-016548-018110-021026_0_2_0_2_70_000_200.png,3157,18109,란스톤엘에프디티정 30mg,628,845,323,306
K-001900-016548-018110-021026_0_2_0_2_70_000_200.png,3164,21025,펠루비정(펠루비프로펜),674,274,176,173
K-001900-016548-018110-021026_0_2_0_2_75_000_200.png,3162,21025,펠루비정(펠루비프로펜),105,834,182,180
K-001900-016548-018110-021026_0_2_0_2_75_000_200.png,3159,16547,가바토파정 100mg,579,158,232,224
K-001900-016548-018110-021026_0_2_0_2_75_000_200.png,3158,18109,란스톤엘에프디티정 30mg,46,113,298,287
K-001900-016548-018110-021026_0_2_0_2_75_000_200.png,3165,1899,보령부스파정 5mg,596,854,212,148
K-001900-016548-018110-021026_0_2_0_2_90_000_200.png,3167,1899,보령부스파정 5mg,621,887,208,143
K-001900-016548-018110-021026_0_2_0_2_90_000_200.png,3160,16547,가바토파정 100mg,605,163,238,226
K-001900-016548-018110-027926_0_2_0_2_70_000_200.png,4845,27925,울트라셋이알서방정,143,142,262,459
K-001900-016548-018110-027926_0_2_0_2_70_000_200.png,4850,18109,란스톤엘에프디티정 30mg,637,273,308,282
K-001900-016548-018110-027926_0_2_0_2_70_000_200.png,4843,1899,보령부스파정 5mg,630,894,211,133
K-001900-016548-018110-027926_0_2_0_2_75_000_200.png,4846,27925,울트라셋이알서방정,570,629,258,490
K-001900-016548-018110-027926_0_2_0_2_75_000_200.png,4840,16547,가바토파정 100mg,601,170,233,227
